,Voltage_n1,Current_n1,Voltage_n2,Current_n2,Voltage_n3,Current_n3,Voltage_n1,ΔTemperature_n1,Voltage_n2,ΔTemperature_n2,Voltage_n3,ΔTemperature_n3,Voltage_n1,Power_n1,Voltage_n2,Power_n2,Voltage_n3,Power_n3,Temperature_1_n1,Temperature_2_n1,Temperature_1_n2,Temperature_2_n2,Temperature_1_n3,Temperature_2_n3
0,-8.53353e-05,0.0317788,-8.4849e-05,0.0312682,-8.49967e-05,0.0316964,-8.53353e-05,7.30078125,-8.4849e-05,7.6123046875,-8.49967e-05,7.4423828125,-8.53353e-05,-2.7118534316400003e-06,-8.4849e-05,-2.6530755018e-06,-8.49967e-05,-2.69408940188e-06,47.1396484375,54.4404296875,46.763671875,54.3759765625,46.9404296875,54.3828125
1,0.00585427,0.0293352,0.00576321,0.0288797,0.00583942,0.0292343,0.00585427,7.4970703125,0.00576321,7.55859375,0.00583942,7.9365234375,0.00585427,0.000171736181304,0.00576321,0.00016643977583700003,0.00583942,0.000170711356106,46.9140625,54.4111328125,46.7890625,54.34765625,46.431640625,54.3681640625
2,0.0117921,0.027059,0.0116133,0.02665,0.0117633,0.0269717,0.0117921,7.4765625,0.0116133,7.671875,0.0117633,7.4267578125,0.0117921,0.0003190824339,0.0116133,0.000309494445,0.0117633,0.00031727619861000004,46.9775390625,54.4541015625,46.669921875,54.341796875,46.9248046875,54.3515625
3,0.0177328,0.0248721,0.0174623,0.0245166,0.0176875,0.0248091,0.0177328,7.72265625,0.0174623,7.26171875,0.0176875,7.716796875,0.0177328,0.00044105197488,0.0174623,0.00042811622418,0.0176875,0.00043881095624999996,46.744140625,54.466796875,47.107421875,54.369140625,46.658203125,54.375
4,0.0236738,0.0227888,0.0233096,0.02247,0.0236102,0.0227319,0.0236738,7.884765625,0.0233096,7.4384765625,0.0236102,7.5849609375,0.0236738,0.00053949749344,0.0233096,0.000523766712,0.0236102,0.00053670470538,46.5537109375,54.4384765625,46.921875,54.3603515625,46.763671875,54.3486328125
5,0.0296118,0.0207827,0.0291599,0.0205016,0.0295358,0.0207299,0.0296118,7.9130859375,0.0291599,7.1845703125,0.0295358,7.365234375,0.0296118,0.00061541315586,0.0291599,0.00059782460584,0.0295358,0.00061227418042,46.4912109375,54.404296875,47.158203125,54.3427734375,47.0009765625,54.3662109375
6,0.0355529,0.0188423,0.0350092,0.0185982,0.0354587,0.0187952,0.0355529,7.7734375,0.0350092,7.2275390625,0.0354587,7.3642578125,0.0355529,0.0006698984076699999,0.0350092,0.0006511081034399999,0.0354587,0.0006664533582400001,46.642578125,54.416015625,47.1142578125,54.341796875,47.0185546875,54.3828125
7,0.0414913,0.0169636,0.0408592,0.0167539,0.0413827,0.0169202,0.0414913,8.21875,0.0408592,7.3642578125,0.0413827,7.7294921875,0.0414913,0.00070384181668,0.0408592,0.0006845509508799999,0.0413827,0.00070020356054,46.1689453125,54.3876953125,47.02734375,54.3916015625,46.650390625,54.3798828125
8,0.0474313,0.0151375,0.0467096,0.0149633,0.047306,0.0150994,0.0474313,7.662109375,0.0467096,7.662109375,0.047306,8.1865234375,0.0474313,0.00071799130375,0.0467096,0.00069892975768,0.047306,0.0007142922164000001,46.748046875,54.41015625,46.6640625,54.326171875,46.146484375,54.3330078125
9,0.0533698,0.0133615,0.0525563,0.0132232,0.0532304,0.0133287,0.0533698,7.4482421875,0.0525563,7.28125,0.0532304,7.6142578125,0.0533698,0.0007131005827,0.0525563,0.00069496246616,0.0532304,0.00070949203248,47.005859375,54.4541015625,47.0791015625,54.3603515625,46.755859375,54.3701171875
